City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,grindavik,63.8424,-22.4338,274.41,93,0,2.57,IS,1670093479
141,qarqin,37.4185,66.0436,278.67,45,100,2.35,AF,1670093479
142,pierre,44.3683,-100.351,267.66,63,0,2.57,US,1670093399
143,montepuez,-13.1256,38.9997,297.32,61,10,3.3,MZ,1670093480
144,yuzhno-kurilsk,44.0306,145.8556,273.99,86,100,5.89,RU,1670093480
145,kahului,20.8947,-156.47,299.17,76,20,5.81,US,1670093374
146,tungawan,7.5081,122.3711,298.79,86,73,1.03,PH,1670093480
147,birao,10.2849,22.7882,298.1,19,12,2.64,CF,1670093481
148,mehamn,71.0357,27.8492,270.1,80,21,6.17,NO,1670093481
149,hobyo,5.3505,48.5268,299.5,70,92,7.37,SO,1670093482
150,tabuk,17.4189,121.4443,295.5,89,64,0.41,PH,1670093482
151,jieshou,33.2634,115.3611,276.51,51,100,4.2,CN,1670093482
152,te horo,-40.8084,175.1233,287.38,84,81,2.24,NZ,1670093483
153,havre-saint-pierre,50.2334,-63.5986,275.35,87,100,7.72,CA,1670093483
154,saint-philippe,-21.3585,55.7679,297.92,78,8,2.71,RE,1670093261
155,cukai,4.25,103.4167,299.26,92,100,1.22,MY,1670093483
156,bandarbeyla,9.4942,50.8122,298.84,70,1,9.11,SO,1670093484
157,tongzi,28.7829,105.0877,281.07,77,100,1.8,CN,1670093484
158,deputatskiy,69.3,139.9,247.83,87,100,5.02,RU,1670093485
159,gombe,10.2897,11.1673,300.16,25,6,2.21,NG,1670093485
160,vila,42.0304,-8.1588,275.64,81,1,1.84,PT,1670093485
161,la palma,33.8464,-118.0467,295.27,70,75,1.34,US,1670093213
162,ugoofaaru,5.6667,73.0,300.45,78,95,4.03,MV,1670093486
163,xingyi,24.1877,102.817,282.46,96,0,1.99,CN,1670093487
164,shache,38.4167,77.2406,268.29,30,10,1.16,CN,1670093487
165,ahipara,-35.1667,173.1667,288.65,76,0,1.75,NZ,1670093487
166,chapais,49.7834,-74.8492,274.03,99,100,3.17,CA,1670093488
167,rottenmann,47.5167,14.35,275.75,95,99,3.22,AT,1670093488
